Serial No.,College Name,Info
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"Ramaiah University of Applied Sciences, The University has Faculties of Engineering and Technology, Art and Design, Management and Commerce, Science and Humanities, Pharmacy, Dental Sciences and Hospitality Management. All the faculties offer undergraduate, postgraduate and PhD programmes. Altogether it offers a total of 169 courses across 14 streams."
502,Swami Rama Himalayan University - [SRHU],"Swami Rama Himalayan University B.Tech will be granted based on the score obtained in JEE Main. Students must hold a Diploma or B.Sc. degree with an aggregate of at least 55% marks to seek admission to the B.Tech Lateral entry program. Admission to the diploma programs in engineering is based on valid scores in JEEP examination. | Admission to MD/MS and PG Diploma of Swami Rama Himalayan University will be granted based on the score obtained in NEET PG. Admission to various UG programs for Nursing  will be granted based on performance in the Common Entrance Examination for Nursing (CEEN).Admission to MBBS is based on the score obtained in NEET UG followed by Personal Counselling. Admission to BBA, BCA, B.Com (Hons), B.Sc. and B.Voc will be granted based on merit in the qualifying examination followed by Personal Counselling."
503,Srinivas University,"Srinivas University is located in Mangalore, Karnataka. It was established in the year 2013.  The university offers various UG, PG, D.Sc/ D.Litt and Ph.D. programs in various disciplines. These courses are offered in the field of Engineering, Management, Allied Health Sciences, Commerce, Science and Computer Applications. The application form can be downloaded from the official website of Srinivas University. | Read More: Srinivas University Fee Structure"
504,East West College of Engineering - [EWCE],East West College of Engineering COMEDK Cutoff 2024 is out. The table below shows the cutoff rank for GM (General Merit) category under Round 1:
505,Global Group of Institutes,"Established in the year 2008, the Global Group of Institutes offers courses like B. Tech, B. Pharm, BBA, BCA, B.Com, BHMCT, BTTM, B. Sc (MLS, OTT, Radiology, Anesthesia) and B. Voc at Undergraduate level, MBA and MCA at Postgraduate level along with some Diploma courses in the disciplines of Engineering and Pharmacy. The institute is approved by AICTE & PCI and affiliated with Punjab Technical University Jalandhar. The admissions are based on merit basis only."
506,Priyadarshini College of Engineering - [PCE],"Priyadarshini College of Engineering was established in 1990 and is located in Nagpur, Maharashtra. The college is affiliated to Rashtrasant Tukadoji Maharaj Nagpur University (RTMNU) and follows admissions guidelines set by the University and Maharashtra State CET Cell. | Admissions are offered in B.E, M.Tech and Ph.D. degree programs at Priyadarshini College of Engineering. Applications for admissions for B.E and M.Tech are accepted through Maharashtra State CET Cell. While admission applications for Ph.D. are accepted through RTMNU."
507,Jeppiaar Institute of Technology - [JIT],"Jeppiaar Institute of Technology, Chennai offers Undergraduate courses in Engineering and Technology. Bachelor of Engineering in 4 specializations and B. Tech. in Information Technology are offered in this Institute. | Jeppiaar Institute of Technology established in 2011, is part of Jeppiaar Foundation, (Jeppiaar Remibai Educational Trust). It is situated in Chennai, Tamil Nadu, India. Jeppiaar Institute of Technology is Approved by “All India Council for Technical Education (AICTE) and is Affiliated to Anna University, Chennai."
508,Seacom Skills University - [SSU],"Seacom Skills University (SSU) established in the year 2014 is a private research university located in Bolpur, West Bengal approved by UGC. | Seacom Skills University (SSU) offers various diploma, integrated diploma, B.Sc., B.Tech, BA, B.Pharm courses at UG level and M.A, M.Tech, MBA, M.Com, D.Pharm. at PG level and also Ph.D. at PG research level."
509,SRM University,"SRM University, AP is a private university, established in 2017. The university is part of SRM Group and is located at Mangalagiri, Mandal, Andhra Pradesh. | The university has collaborated with the University of California Berkeley, MIT USA and EFREI France. SRM University Amaravati is a multi-stream research university that offers degree and research programs in diverse fields like Civil Engineering, Computer Science, Electrical and Electronics, Electronics and Communication, and Mechanical Engineering."
510,University of Technology - [UOT],"University of Technology or UOT is established by the Government of Rajasthan. It is a private University recognized by UGC. The University has established 16 schools that offer a plethora of UG, PG and Integrated programs to the candidates. It also offers admissions to Ph.D. program in the faculties of Engineering & Technology, Sciences, Commerce & Management, Law, Arts and Agriculture."
