Serial No.,College Name,Course,Fees,Eligibility,Application Date
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"B.Tech
12 Courses",2.4 Lakhs - 5 Lakhs (1st Year Fees),10+2 with 45% + KCET,24 May - 17 Jun 2024
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"B.Sc {Hons.}
18 Courses","88,250 - 2.5 Lakhs (1st Year Fees)",10+2,-
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"M.Sc
13 Courses","90,000 - 1.8 Lakhs (1st Year Fees)",Graduation,-
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"MBA
9 Courses",4 Lakhs (1st Year Fees),Graduation with 50% + Karnataka PGCET,27 May - 17 Jun 2024
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"Ph.D
11 Courses",1.92 Lakhs (1st Year Fees),Post Graduation,-
502,Swami Rama Himalayan University - [SRHU],MBBS,21.13 Lakhs (1st Year Fees),10+2 + NEET,no data found
502,Swami Rama Himalayan University - [SRHU],"B.Sc
6 Courses","59,500 - 2.2 Lakhs (1st Year Fees)",10+2 with 45%,no data found
502,Swami Rama Himalayan University - [SRHU],"B.Sc {Hons.}
4 Courses",1 Lakh - 2.88 Lakhs (1st Year Fees),10+2 with 50%,no data found
502,Swami Rama Himalayan University - [SRHU],"B.Sc (Nursing)
1 Course",1.93 Lakhs (1st Year Fees),10+2 with 45%,no data found
502,Swami Rama Himalayan University - [SRHU],"B.Tech
4 Courses",2.04 Lakhs - 2.44 Lakhs (1st Year Fees),10+2 with 55%,no data found
503,Srinivas University,"MBA
13 Courses",1.28 Lakhs (Total Fees),Graduation with 50%,-
503,Srinivas University,"B.Tech
12 Courses",4.17 Lakhs (Total Fees),10+2 with 45%,10 Jan - 20 Feb 2024
503,Srinivas University,"BCA
5 Courses","30,000 - 80,000 (1st Year Fees)",10+2,-
503,Srinivas University,"BBA
15 Courses","30,000 - 1.06 Lakhs (1st Year Fees)",10+2 with 40%,-
503,Srinivas University,"B.Sc (Nursing)
1 Course",1.68 Lakhs (1st Year Fees),10+2,-
504,East West College of Engineering - [EWCE],"BE
9 Courses",4 Lakhs - 7.64 Lakhs (Total Fees),10+2 with 45% + KCET,24 May - 17 Jun 2024
504,East West College of Engineering - [EWCE],"BE {Lateral}
6 Courses",3.13 Lakhs - 4.1 Lakhs (Total Fees),10+3 with 45% + DCET,-
505,Global Group of Institutes,"B.Tech
6 Courses","96,400 (1st Year Fees)",10+2,24 May - 14 Jun 2024
505,Global Group of Institutes,"B.Sc {Lateral}
3 Courses","56,400 (1st Year Fees)",DMLT,-
505,Global Group of Institutes,"MBA
3 Courses","96,400 (1st Year Fees)",Graduation,-
505,Global Group of Institutes,"BCA
1 Course","55,400 (1st Year Fees)",10+2,-
505,Global Group of Institutes,"Lateral Polytechnic
4 Courses","49,250 (1st Year Fees)",10+2,-
506,Priyadarshini College of Engineering - [PCE],"BE
13 Courses",1.13 Lakhs (1st Year Fees),10+2 with JEE Main,16 Jan - 28 Jul 2024
506,Priyadarshini College of Engineering - [PCE],"B.Tech
2 Courses",1.13 Lakhs (1st Year Fees),10+2 with JEE Main,16 Jan - 28 Jul 2024
506,Priyadarshini College of Engineering - [PCE],"M.Tech
4 Courses","84,000 (1st Year Fees)",Pass in Graduation + GATE,9 July - 29 Jul 2024
506,Priyadarshini College of Engineering - [PCE],"BE {Lateral}
7 Courses",1.13 Lakhs (1st Year Fees),10+3 with JEE Main,-
506,Priyadarshini College of Engineering - [PCE],"Ph.D
3 Courses","30,000 (1st Year Fees)",Post Graduation,-
507,Jeppiaar Institute of Technology - [JIT],"BE
5 Courses",2.2 Lakhs (Total Fees),10+2 with 45% + TNEA,6 May - 11 Jun 2024
507,Jeppiaar Institute of Technology - [JIT],"B.Tech
2 Courses",2.2 Lakhs (Total Fees),10+2 with 45% + TNEA,6 May - 11 Jun 2024
507,Jeppiaar Institute of Technology - [JIT],"MBA
5 Courses","41,000 (Total Fees)",Graduation,10 June - 04 Jul 2024
507,Jeppiaar Institute of Technology - [JIT],"BE {Lateral}
4 Courses",1.65 Lakhs (Total Fees),Diploma,-
507,Jeppiaar Institute of Technology - [JIT],"B.Tech {Lateral}
2 Courses",1.65 Lakhs (Total Fees),Diploma,-
508,Seacom Skills University - [SSU],"B.Sc
25 Courses","35,000 - 2.2 Lakhs (1st Year Fees)",10+2,-
508,Seacom Skills University - [SSU],"B.Tech
5 Courses","82,000 (1st Year Fees)",10+2 with 45%,28 Dec - 27 Jan 2024
508,Seacom Skills University - [SSU],"M.Sc
20 Courses","35,000 - 1.3 Lakhs (1st Year Fees)",Graduation,-
508,Seacom Skills University - [SSU],"M.Tech
11 Courses","90,000 (1st Year Fees)",Graduation,-
508,Seacom Skills University - [SSU],"Ph.D
19 Courses",4.9 Lakhs - 5.3 Lakhs (Total Fees),Post Graduation,-
509,SRM University,"B.Tech
27 Courses",2.5 Lakhs - 4.75 Lakhs (1st Year Fees),10+2 with 60% + SRMJEEE,11 Mar - 25 Jul 2024
509,SRM University,"B.Sc {Hons.}
17 Courses",1.55 Lakhs - 1.7 Lakhs (1st Year Fees),10+2 with 60%,-
509,SRM University,"MBA
9 Courses",1.8 Lakhs - 3.6 Lakhs (1st Year Fees),Graduation,20 Mar - 19 Apr 2024
509,SRM University,"Ph.D
17 Courses","16,000 - 30,000 (1st Year Fees)",Post Graduation with 60%,-
509,SRM University,"BBA {Hons.}
7 Courses",2.55 Lakhs (1st Year Fees),10+2,-
510,University of Technology - [UOT],"B.Tech
14 Courses","90,000 (1st Year Fees)",10+2,no data found
510,University of Technology - [UOT],"Diploma
15 Courses","15,000 - 60,000 (Total Fees)",10+2,no data found
510,University of Technology - [UOT],"B.Sc
18 Courses","15,000 - 70,000 (1st Year Fees)",10+2,no data found
510,University of Technology - [UOT],"M.Sc
14 Courses","30,000 - 40,000 (1st Year Fees)",Graduation,no data found
510,University of Technology - [UOT],"BCA
1 Course","30,000 (1st Year Fees)",10+2,no data found
511,CT University - [CTU],"B.Tech
4 Courses","45,000 - 1.01 Lakhs (1st Year Fees)",10+2 with 50%,-
511,CT University - [CTU],"Diploma
6 Courses","50,000 - 55,000 (Total Fees)",10+2,-
511,CT University - [CTU],"B.Sc
5 Courses","50,000 - 65,000 (1st Year Fees)",10+2 with 50%,31 Aug 2024
511,CT University - [CTU],"M.Sc
3 Courses","38,000 - 45,000 (1st Year Fees)",Graduation with 50%,31 Aug 2024
511,CT University - [CTU],"MBA
14 Courses","85,000 - 95,000 (1st Year Fees)",Graduation with 50%,31 Aug 2024
512,Malla Reddy College of Engineering for Women - [MRCEW],"B.Tech
4 Courses","73,000 (1st Year Fees)",10+2 with 75% + JEE Main,3 Mar - 02 May 2024
512,Malla Reddy College of Engineering for Women - [MRCEW],"B.Tech {Lateral}
5 Courses","70,000 (1st Year Fees)",10+2 with 45% + TSECET,-
513,Adichunchanagiri University - [ACU],MBBS,1.29 Lakhs (1st Year Fees),10+2 with 50% + NEET,no data found
513,Adichunchanagiri University - [ACU],"BE
6 Courses",4.17 Lakhs (Total Fees),10+2 with 45% + KCET,no data found
513,Adichunchanagiri University - [ACU],"B.Sc (Nursing)
1 Course",1.3 Lakhs (1st Year Fees),10+2,no data found
