Serial No.,College Name,Course Name,Cutoff Mark
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"B.Tech Mathematics and Computing
Compare",3428
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"Pharm.D
Compare",7103
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"B.Tech Computer Science Engineering
Compare",14755
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"B.Tech Artificial Intelligence
Compare",15369
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"B.Tech Aerospace Engineering
Compare",16574
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"MBA Financial Management
Compare",1172
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"MBA Marketing Management
Compare",1172
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"MBA Banking and Finance
Compare",1172
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"MBA Human Resource Management
Compare",1172
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"MBA Operations Management
Compare",1172
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"BDS
Compare",89274
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"B.Tech Civil Engineering
Compare",13858
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"B.Tech Automotive Engineering
Compare",23344
502,Swami Rama Himalayan University - [SRHU],No data found,No data found
503,Srinivas University,B.Tech Artificial Intelligence,100909
503,Srinivas University,B.Tech Computer Science Engineering,101588
503,Srinivas University,B.Tech Cyber Security & Forensics,108896
503,Srinivas University,B.Tech Electronics & Communication Engineering,110108
503,Srinivas University,B.Tech Civil Engineering,174594
503,Srinivas University,M.Tech Thermal Power Engineering,3810
503,Srinivas University,M.Tech. Construction Management,4796
503,Srinivas University,M.Tech Structural Engineering,4801
503,Srinivas University,MCA,14307
503,Srinivas University,MBA {Hons.},43315
504,East West College of Engineering - [EWCE],BE Computer Science and Engineering,52209
504,East West College of Engineering - [EWCE],BE Electronics & Communication Engineering,63276
504,East West College of Engineering - [EWCE],BE Aeronautical Engineering,72437
504,East West College of Engineering - [EWCE],BE Agricultural Engineering,100647
504,East West College of Engineering - [EWCE],BE Mechanical Engineering,125295
504,East West College of Engineering - [EWCE],BE Computer Science and Engineering,60754
504,East West College of Engineering - [EWCE],BE Mechanical Engineering,74235
504,East West College of Engineering - [EWCE],BE Agricultural Engineering,92709
504,East West College of Engineering - [EWCE],BE Aeronautical Engineering,98880
504,East West College of Engineering - [EWCE],BE Electronics & Communication Engineering,102062
505,Global Group of Institutes,No data found,No data found
506,Priyadarshini College of Engineering - [PCE],"BE Computer Science and Engineering
Compare",91.01
506,Priyadarshini College of Engineering - [PCE],"BE (Information Technology)
Compare",88.6
506,Priyadarshini College of Engineering - [PCE],"BE Computer Technology
Compare",86.84
506,Priyadarshini College of Engineering - [PCE],"BE Artificial Intelligence and Data Science
Compare",84.29
506,Priyadarshini College of Engineering - [PCE],"BE Robotics & Artificial Intelligence
Compare",79.81
506,Priyadarshini College of Engineering - [PCE],"BE Computer Science and Engineering
Compare",13842
506,Priyadarshini College of Engineering - [PCE],"BE (Information Technology)
Compare",16397
506,Priyadarshini College of Engineering - [PCE],"BE Artificial Intelligence and Data Science
Compare",16899
506,Priyadarshini College of Engineering - [PCE],"BE Computer Technology
Compare",17703
506,Priyadarshini College of Engineering - [PCE],"BE Robotics & Artificial Intelligence
Compare",18012
506,Priyadarshini College of Engineering - [PCE],"BE Computer Science and Engineering
Compare",13842
506,Priyadarshini College of Engineering - [PCE],"BE (Information Technology)
Compare",16397
506,Priyadarshini College of Engineering - [PCE],"BE Artificial Intelligence and Data Science
Compare",16899
506,Priyadarshini College of Engineering - [PCE],"BE Computer Technology
Compare",17703
506,Priyadarshini College of Engineering - [PCE],"BE Robotics & Artificial Intelligence
Compare",18012
507,Jeppiaar Institute of Technology - [JIT],"B.Tech Artificial Intelligence and Data Science
Compare",7596
507,Jeppiaar Institute of Technology - [JIT],"BE Electronics & Communication Engineering
Compare",15857
507,Jeppiaar Institute of Technology - [JIT],"B.Tech Information Technology
Compare",20453
507,Jeppiaar Institute of Technology - [JIT],"BE Computer Science and Engineering
Compare",26258
507,Jeppiaar Institute of Technology - [JIT],"BE Computer Science and Business Systems
Compare",-
507,Jeppiaar Institute of Technology - [JIT],"MBA Financial Management
Compare",25
507,Jeppiaar Institute of Technology - [JIT],"MBA Human Resource Management
Compare",25
507,Jeppiaar Institute of Technology - [JIT],"MBA Operations Management
Compare",25
507,Jeppiaar Institute of Technology - [JIT],"MBA Systems Management
Compare",25
507,Jeppiaar Institute of Technology - [JIT],"MBA Marketing Management
Compare",25
508,Seacom Skills University - [SSU],B.Tech Electronics and Electrical Communication Engineering,28838
508,Seacom Skills University - [SSU],B.Tech Computer Science Engineering,78485
508,Seacom Skills University - [SSU],B.Tech Electronics and Electrical Communication Engineering,28838
508,Seacom Skills University - [SSU],B.Tech Computer Science Engineering,78485
508,Seacom Skills University - [SSU],B.Tech (Lateral) Civil Engineering,4239
508,Seacom Skills University - [SSU],B.Tech (Lateral) Electrical Engineering,5128
508,Seacom Skills University - [SSU],B.Tech (Lateral) Computer Science & Engineering,5645
508,Seacom Skills University - [SSU],B.Tech (Lateral) Mechanical Engineering,7744
509,SRM University,"B.Tech Electrical and Electronics Engineering
Compare",5899
509,SRM University,"B.Tech Civil Engineering
Compare",10911
509,SRM University,"B.Tech Mechanical Engineering
Compare",23799
509,SRM University,"B.Tech Computer Science Engineering
Compare",35723
509,SRM University,"B.Tech Electronics & Communication Engineering
Compare",81438
509,SRM University,"MBA Banking and Finance
Compare",2375
509,SRM University,"MBA Data Science
Compare",2375
509,SRM University,"MBA Banking and Finance
Compare",80
509,SRM University,"MBA Data Science
Compare",80
510,University of Technology - [UOT],No data found,No data found
511,CT University - [CTU],No data found,No data found
512,Malla Reddy College of Engineering for Women - [MRCEW],B.Tech Computer Science Engineering,57730
512,Malla Reddy College of Engineering for Women - [MRCEW],B.Tech Computer Science and Engineering (Artificial Intelligence & Machine Learning),57848
512,Malla Reddy College of Engineering for Women - [MRCEW],B.Tech Data Science,58103
512,Malla Reddy College of Engineering for Women - [MRCEW],B.Tech Electronics & Communication Engineering,76190
513,Adichunchanagiri University - [ACU],M.Tech Structural Engineering,3446
513,Adichunchanagiri University - [ACU],M.Tech Infrastructure Design and Management,4918
513,Adichunchanagiri University - [ACU],M.Tech Computer Science and Engineering,5590
513,Adichunchanagiri University - [ACU],M.Tech VLSI Design & Embedded System,5938
513,Adichunchanagiri University - [ACU],MBA,16945
514,Bhabha University - [BU],BDS,528501
515,Sant Baba Bhag Singh University - [SBBSU],No data found,No data found
516,Shivajirao Kadam Group of Colleges,B.Tech Mechanical Engineering,1109535
516,Shivajirao Kadam Group of Colleges,B.Tech Electronics & Communication Engineering,1342596
516,Shivajirao Kadam Group of Colleges,B.Tech Artificial Intelligence and Machine Learning,1360421
516,Shivajirao Kadam Group of Colleges,B.Tech Computer Science Engineering,1403823
516,Shivajirao Kadam Group of Colleges,B.Tech Electronics & Communication Engineering,966590
516,Shivajirao Kadam Group of Colleges,B.Tech Computer Science Engineering,1075165
517,Rai University - [RU],MCA,21972
518,Shri Krishna University - [SKU],No data found,No data found
