Serial No.,College Name,Department,Location
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"Faculty of Hospitality Management and Catering Technology - [FHMCT], M. S. Ramaiah University of Applied Sciences","Bangalore, Karnataka"
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"Faculty of Pharmacy, M. S. Ramaiah University of Applied Sciences","Bangalore, Karnataka"
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"Faculty of Dental Sciences, M. S. Ramaiah University of Applied Sciences","Bangalore, Karnataka"
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"Faculty of Management and Commerce, M. S. Ramaiah University of Applied Sciences","Bangalore, Karnataka"
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"Faculty of Art and Design, M. S. Ramaiah University of Applied Sciences","Bangalore, Karnataka"
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"Faculty of Mathematical and Physical Sciences, M. S. Ramaiah University of Applied Sciences","Bangalore, Karnataka"
502,Swami Rama Himalayan University - [SRHU],No data found,No data found
503,Srinivas University,Srinivas College of Hotel Management - [SCHM],"Mangalore, Karnataka"
504,East West College of Engineering - [EWCE],No data found,No data found
505,Global Group of Institutes,No data found,No data found
506,Priyadarshini College of Engineering - [PCE],No data found,No data found
507,Jeppiaar Institute of Technology - [JIT],No data found,No data found
508,Seacom Skills University - [SSU],No data found,No data found
509,SRM University,No data found,No data found
510,University of Technology - [UOT],No data found,No data found
511,CT University - [CTU],No data found,No data found
512,Malla Reddy College of Engineering for Women - [MRCEW],No data found,No data found
513,Adichunchanagiri University - [ACU],No data found,No data found
514,Bhabha University - [BU],No data found,No data found
515,Sant Baba Bhag Singh University - [SBBSU],No data found,No data found
516,Shivajirao Kadam Group of Colleges,No data found,No data found
517,Rai University - [RU],Rai School of Engineering - [RSE],"Ahmedabad, Gujarat"
517,Rai University - [RU],Rai School of Management Studies - [RSMS],"Ahmedabad, Gujarat"
517,Rai University - [RU],Rai School of Agriculture - [RSA],"Ahmedabad, Gujarat"
517,Rai University - [RU],"School of Law, Rai University - [SOL]","Ahmedabad, Gujarat"
517,Rai University - [RU],"School of Pharmacy, Rai University - [SOP]","Ahmedabad, Gujarat"
517,Rai University - [RU],Rai School of Liberal Studies - [RSLS],"Ahmedabad, Gujarat"
517,Rai University - [RU],Rai School of Sciences - [RSS],"Ahmedabad, Gujarat"
518,Shri Krishna University - [SKU],No data found,No data found
519,Anand Institute of Higher Technology - [AIHT],No data found,No data found
520,Arunai Engineering College - [AEC],No data found,No data found
521,Bharati Vidyapeeth College of Engineering - [BVCOE],No data found,No data found
522,DMI College of Engineering - [DMICE],No data found,No data found
523,Dayananda Sagar Academy of Technology and Management - [DSATM],No data found,No data found
524,Dhole Patil College of Engineering - [DPCOE],No data found,No data found
525,Don Bosco Institute of Technology - [DBIT],No data found,No data found
526,Dronacharya Group of Institutions - [DGI],No data found,No data found
527,Gandhinagar Institute of Technology - [GIT],No data found,No data found
528,HMR Institute of Technology & Management - [HMRITM],No data found,No data found
529,Indore Institute of Science and Technology - [IIST],No data found,No data found
530,KSR College of Engineering,No data found,No data found
531,Loyola Institute of Technology - [LIT],No data found,No data found
532,Lucknow Institute of Technology - [LIT],No data found,No data found
533,Madha Engineering College,No data found,No data found
534,Maharaj Vijayaram Gajapathi Raj College of Engineering - [MVGRCE],No data found,No data found
535,Manav Rachna University - [MRU],"Manav Rachna University, Faculty of Education and Humanities","Faridabad, Haryana"
535,Manav Rachna University - [MRU],"Manav Rachna University, Faculty of Engineering","Faridabad, Haryana"
535,Manav Rachna University - [MRU],"Manav Rachna University, Faculty of Law","Faridabad, Haryana"
535,Manav Rachna University - [MRU],"Manav Rachna University, Faculty of Management and Commerce","Faridabad, Haryana"
536,Orissa Engineering College - [OEC],No data found,No data found
537,RD Engineering College,No data found,No data found
538,Sri Indu Institute of Engineering & Technology - [SIIET],No data found,No data found
539,Rajalakshmi Institute of Technology - [RIT],No data found,No data found
540,Rajasthan Institute of Engineering and Technology - [RIET],No data found,No data found
541,Rajshree Institute of Management and Technology - [RIMT],No data found,No data found
542,SSM College of Engineering - [SSMCE],No data found,No data found
543,Sam College of Engineering and Technology - [SAMCET],No data found,No data found
544,Sanghvi Institute of Management and Science - [SIMS],No data found,No data found
545,Sarvajanik College of Engineering and Technology - [SCET],No data found,No data found
