Serial No.,College Name,Info
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],No data found
502,Swami Rama Himalayan University - [SRHU],No data found
503,Srinivas University,No data found
504,East West College of Engineering - [EWCE],If we came to the point of hostel there is 3 floor building having more than 50 rooms and in each room 3 sharing is there and cart chair and study table will be available for each student separately. The quality of the food is not that much good but quantity does not matter how much we want we can eat there is some restrictions for tiffin. The registration process of hostel will also complete in the college only after paying the fees you have to show that fees receipt and releted documents to the hostel warden and you can stay.
504,East West College of Engineering - [EWCE],The hostel is not that good it is not worth to money. The food they provide is not that good and not able to consume. I stay in hostel and the room is shared by three persons.The hostel fees is levied upto 70000
504,East West College of Engineering - [EWCE],In hostel they will alot three members for each member and the hostel food is not good but the hostel is near to hostel its just 5 mins walkable distance from hostel to college the application form for hostel is available in college
504,East West College of Engineering - [EWCE],The hostel is not good that is expected and the registration process is as same as tuition. The meal they provide is not at all good to consume. The room is shared for 3 and the cleaning is quite Ok. The cleaning staff is there and they does it twice in a week.
504,East West College of Engineering - [EWCE],The hostel fees is 70000 per year and it is near to college it's just 5mins walk distance and inhostel three members are allotted in one single room it is spacious and it got attach bathroom for every single room
505,Global Group of Institutes,I would like to rate hostel 4 out of 5.The hostel has a single room which has 4 beds. the room is big enough for 4 students to live and enjoy hostel life comfortabally . The Mess Food quailty is not so good it need to be improved.
505,Global Group of Institutes,Hostel facility is quite moderate . We have got a 4-tier spacious room with attached washroom with geyser facility. We have got separate almirahs and tables. There's also balcony with each room. Meal quality is good but it's not that appetizing . Menu needs to add more veggies in our diet which is not there. Otherwise everything is good.
505,Global Group of Institutes,"So basically there are 4 students in one room but the room is really big enough for 4 people . We are provided with 2 ceeling fans , one room cooler , two tube light , two power connections , and a balcony , and the almirah , chair table and bed . You have to come with your own kagress and pillow . Mess have really nice menu of food on alternate days with huge variety . Hostels have lift and common washroom areas ,and in winters warm water is provided as per timings , and wifi facilities are also 24×7"
505,Global Group of Institutes,"i would rate 5 out of 5 stars. rooms are quite big enough to share among 4 individuals. we will have separate cots, cupboards,table shelves for us. And also there also single seater facility. Mess food its good when compared with other colleges. Food will be based on the menu that we chose. we can choose veg and non veg foods"
505,Global Group of Institutes,Hostel are good and there management is well and good.But mess food is not up to the mark. Rooms of hostels clean and it has sharing rooms. Maids actually come in about 3-4 times a week. The best thing in hostel is laundry they take our clothes from our hostel. The seats for getting a hostel is not low they have got many hostels for 1st years and can get easily a accommodated.
506,Priyadarshini College of Engineering - [PCE],The faculty is very experience and provides more refers to the students for any problem questions. The hostel facility for girls are very good and which is almost 2 to 3 km from the college which is of 38000 for year.
506,Priyadarshini College of Engineering - [PCE],"Our Hostel P3 was situated 4km farway from our college campus in MIDC area, total 150 students stay in p3 hostel, also we have basketball net, and can also we play cricket. Mess facility was also good. At late night we get special snacks facility like chicken noodles and veg noodles, Maggie, cold drink. Overall food quality was not bad but a bit spicy."
