Serial No.,College Name,Location,URL
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],Bangalore,https://collegedunia.com/university/54840-ms-ramaiah-university-of-applied-sciences-msruas-bangalore
502,Swami Rama Himalayan University - [SRHU],Dehradun,https://collegedunia.com/university/55153-swami-rama-himalayan-university-srhu-dehradun
503,Srinivas University,Mangalore,https://collegedunia.com/university/55863-srinivas-university-mangalore
504,East West College of Engineering - [EWCE],Bangalore,https://collegedunia.com/college/56384-east-west-college-of-engineering-ewce-bangalore
505,Global Group of Institutes,Amritsar,https://collegedunia.com/college/57397-global-group-of-institutes-amritsar
506,Priyadarshini College of Engineering - [PCE],Nagpur,https://collegedunia.com/college/57623-priyadarshini-college-of-engineering-pce-nagpur
507,Jeppiaar Institute of Technology - [JIT],Sriperumbudur,https://collegedunia.com/college/57752-jeppiaar-institute-of-technology-jit-sriperumbudur
508,Seacom Skills University - [SSU],Birbhum,https://collegedunia.com/university/58101-seacom-skills-university-ssu-birbhum
509,SRM University,Amaravathi,https://collegedunia.com/university/58597-srm-university-amaravathi
510,University of Technology - [UOT],Jaipur,https://collegedunia.com/university/59175-university-of-technology-uot-jaipur
511,CT University - [CTU],Ludhiana,https://collegedunia.com/university/59329-ct-university-ctu-ludhiana
512,Malla Reddy College of Engineering for Women - [MRCEW],Hyderabad,https://collegedunia.com/college/59695-malla-reddy-college-of-engineering-for-women-mrcew-hyderabad
513,Adichunchanagiri University - [ACU],Mandya,https://collegedunia.com/university/59802-adichunchanagiri-university-acu-mandya
514,Bhabha University - [BU],Bhopal,https://collegedunia.com/university/59912-bhabha-university-bu-bhopal
515,Sant Baba Bhag Singh University - [SBBSU],Jalandhar,https://collegedunia.com/university/60171-sant-baba-bhag-singh-university-sbbsu-jalandhar
516,Shivajirao Kadam Group of Colleges,Indore,https://collegedunia.com/college/45009-shivajirao-kadam-group-of-colleges-indore
517,Rai University - [RU],Ahmedabad,https://collegedunia.com/university/25506-rai-university-ru-ahmedabad
518,Shri Krishna University - [SKU],Chhatarpur,https://collegedunia.com/university/59927-shri-krishna-university-sku-chhatarpur
519,Anand Institute of Higher Technology - [AIHT],Chennai,https://collegedunia.com/college/12815-anand-institute-of-higher-technology-aiht-chennai
520,Arunai Engineering College - [AEC],Tiruvannamalai,https://collegedunia.com/college/12874-arunai-engineering-college-aec-tiruvannamalai
521,Bharati Vidyapeeth College of Engineering - [BVCOE],Kolhapur,https://collegedunia.com/college/13060-bharati-vidyapeeth-college-of-engineering-bvcoe-kolhapur
522,DMI College of Engineering - [DMICE],Chennai,https://collegedunia.com/college/13295-dmi-college-of-engineering-dmice-chennai
523,Dayananda Sagar Academy of Technology and Management - [DSATM],Bangalore,https://collegedunia.com/college/13315-dayananda-sagar-academy-of-technology-and-management-dsatm-bangalore
524,Dhole Patil College of Engineering - [DPCOE],Pune,https://collegedunia.com/college/13351-dhole-patil-college-of-engineering-dpcoe-pune
525,Don Bosco Institute of Technology - [DBIT],Bangalore,https://collegedunia.com/college/13359-don-bosco-institute-of-technology-dbit-bangalore
526,Dronacharya Group of Institutions - [DGI],Greater Noida,https://collegedunia.com/college/13413-dronacharya-group-of-institutions-dgi-greater-noida
527,Gandhinagar Institute of Technology - [GIT],Gandhinagar,https://collegedunia.com/college/13534-gandhinagar-institute-of-technology-git-gandhinagar
528,HMR Institute of Technology & Management - [HMRITM],New Delhi,https://collegedunia.com/college/13691-hmr-institute-of-technology-and-management-hmritm-new-delhi
529,Indore Institute of Science and Technology - [IIST],Indore,https://collegedunia.com/college/13806-indore-institute-of-science-and-technology-iist-indore
530,KSR College of Engineering,Namakkal,https://collegedunia.com/college/13947-ksr-college-of-engineering-namakkal
531,Loyola Institute of Technology - [LIT],Chennai,https://collegedunia.com/college/14111-loyola-institute-of-technology-lit-chennai
532,Lucknow Institute of Technology - [LIT],Lucknow,https://collegedunia.com/college/14115-lucknow-institute-of-technology-lit-lucknow
533,Madha Engineering College,Chennai,https://collegedunia.com/college/14173-madha-engineering-college-chennai
534,Maharaj Vijayaram Gajapathi Raj College of Engineering - [MVGRCE],Vizianagaram,https://collegedunia.com/college/14188-maharaj-vijayaram-gajapathi-raj-college-of-engineering-mvgrce-vizianagaram
535,Manav Rachna University - [MRU],Faridabad,https://collegedunia.com/university/14252-manav-rachna-university-mru-faridabad
536,Orissa Engineering College - [OEC],Bhubaneswar,https://collegedunia.com/college/14535-orissa-engineering-college-oec-bhubaneswar
537,RD Engineering College,Ghaziabad,https://collegedunia.com/college/14642-rd-engineering-college-ghaziabad
538,Sri Indu Institute of Engineering & Technology - [SIIET],Hyderabad,https://collegedunia.com/college/14678-sri-indu-institute-of-engineering-and-technology-siiet-hyderabad
539,Rajalakshmi Institute of Technology - [RIT],Chennai,https://collegedunia.com/college/14707-rajalakshmi-institute-of-technology-rit-chennai
540,Rajasthan Institute of Engineering and Technology - [RIET],Jaipur,https://collegedunia.com/college/14719-rajasthan-institute-of-engineering-and-technology-riet-jaipur
541,Rajshree Institute of Management and Technology - [RIMT],Bareilly,https://collegedunia.com/college/14738-rajshree-institute-of-management-and-technology-rimt-bareilly
542,SSM College of Engineering - [SSMCE],Namakkal,https://collegedunia.com/college/14864-ssm-college-of-engineering-ssmce-namakkal
543,Sam College of Engineering and Technology - [SAMCET],Bhopal,https://collegedunia.com/college/14906-sam-college-of-engineering-and-technology-samcet-bhopal
544,Sanghvi Institute of Management and Science - [SIMS],Indore,https://collegedunia.com/college/14918-sanghvi-institute-of-management-and-science-sims-indore
545,Sarvajanik College of Engineering and Technology - [SCET],Surat,https://collegedunia.com/college/14954-sarvajanik-college-of-engineering-and-technology-scet-surat
546,Seacom Engineering College,Howrah,https://collegedunia.com/college/14984-seacom-engineering-college-howrah
547,Seth Jai Parkash Mukand Lal Institute of Engineering and Technology - [JMIT],Yamuna Nagar,https://collegedunia.com/college/14995-seth-jai-parkash-mukand-lal-institute-of-engineering-and-technology-jmit-yamuna-nagar
548,Shah and Anchor Kutchhi Engineering College - [SAKEC],Mumbai,https://collegedunia.com/college/15003-shah-and-anchor-kutchhi-engineering-college-sakec-mumbai
549,Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam,Hyderabad,https://collegedunia.com/college/15216-sri-indu-college-of-engineering-and-technology-sicet-ibrahimpatnam-hyderabad
550,Sri Krishna Institute of Technology - [SKIT],Bangalore,https://collegedunia.com/college/15226-sri-krishna-institute-of-technology-skit-bangalore
551,Sriram Engineering College - [SEC],Thiruvallur,https://collegedunia.com/college/15306-sriram-engineering-college-sec-thiruvallur
