Serial No.,College Name,Company,Package,Job Roles,Headings
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],No data found,No data found,No data found,No data found
502,Swami Rama Himalayan University - [SRHU],No data found,No data found,No data found,No data found
503,Srinivas University,Number of Recruiters,180+,-,"Particulars, Placement Statistics (2022), Placement Statistics (2021)"
503,Srinivas University,Number of Offers,300+,-,"Particulars, Placement Statistics (2022), Placement Statistics (2021)"
503,Srinivas University,Highest Package,INR 20 LPA,INR 16 LPA,"Particulars, Placement Statistics (2022), Placement Statistics (2021)"
503,Srinivas University,Average Package,INR 4.5 LPA,INR 5.45 LPA,"Particulars, Placement Statistics (2022), Placement Statistics (2021)"
503,Srinivas University,Median Package,INR 10 LPA,-,"Particulars, Placement Statistics (2022), Placement Statistics (2021)"
503,Srinivas University,Top Recruiters,"Accenture, Axis Bank, Decathlon, KPMG, Oracle, Yes Bank","YesPeal Technologies Pvt. Ltd, Rinex Technologies, Chegg","Particulars, Placement Statistics (2022), Placement Statistics (2021)"
504,East West College of Engineering - [EWCE],No data found,No data found,No data found,No data found
505,Global Group of Institutes,No data found,No data found,No data found,No data found
506,Priyadarshini College of Engineering - [PCE],No data found,No data found,No data found,No data found
507,Jeppiaar Institute of Technology - [JIT],No data found,No data found,No data found,No data found
508,Seacom Skills University - [SSU],No data found,No data found,No data found,No data found
509,SRM University,Number of Recruiters,800+,-,"Particulars, Placement Statistics (2023), Placement Statistics (2022)"
509,SRM University,Number of Offers,541,1049,"Particulars, Placement Statistics (2023), Placement Statistics (2022)"
509,SRM University,Number of Students Placed,358,493,"Particulars, Placement Statistics (2023), Placement Statistics (2022)"
509,SRM University,Highest Package,INR 50 LPA,INR 45 LPA,"Particulars, Placement Statistics (2023), Placement Statistics (2022)"
509,SRM University,Average Package,INR 9.90 LPA,INR 8.48 LPA,"Particulars, Placement Statistics (2023), Placement Statistics (2022)"
509,SRM University,Super Dream Offers,105,99,"Particulars, Placement Statistics (2023), Placement Statistics (2022)"
509,SRM University,Marquee Offers,25,15,"Particulars, Placement Statistics (2023), Placement Statistics (2022)"
509,SRM University,International Offers,11,8,"Particulars, Placement Statistics (2023), Placement Statistics (2022)"
509,SRM University,Top Recruiters,"Amazon, TCS, IBM, Microsoft, TATA","Amazon, Adobe, Infosys, HealthRx, Bank of America","Particulars, Placement Statistics (2023), Placement Statistics (2022)"
510,University of Technology - [UOT],No data found,No data found,No data found,No data found
511,CT University - [CTU],No data found,No data found,No data found,No data found
512,Malla Reddy College of Engineering for Women - [MRCEW],No data found,No data found,No data found,No data found
513,Adichunchanagiri University - [ACU],No data found,No data found,No data found,No data found
514,Bhabha University - [BU],No data found,No data found,No data found,No data found
515,Sant Baba Bhag Singh University - [SBBSU],No data found,No data found,No data found,No data found
516,Shivajirao Kadam Group of Colleges,No data found,No data found,No data found,No data found
517,Rai University - [RU],No data found,No data found,No data found,No data found
518,Shri Krishna University - [SKU],No data found,No data found,No data found,No data found
519,Anand Institute of Higher Technology - [AIHT],No data found,No data found,No data found,No data found
520,Arunai Engineering College - [AEC],No data found,No data found,No data found,No data found
521,Bharati Vidyapeeth College of Engineering - [BVCOE],No data found,No data found,No data found,No data found
522,DMI College of Engineering - [DMICE],No data found,No data found,No data found,No data found
523,Dayananda Sagar Academy of Technology and Management - [DSATM],No data found,No data found,No data found,No data found
524,Dhole Patil College of Engineering - [DPCOE],No data found,No data found,No data found,No data found
525,Don Bosco Institute of Technology - [DBIT],No data found,No data found,No data found,No data found
526,Dronacharya Group of Institutions - [DGI],No data found,No data found,No data found,No data found
527,Gandhinagar Institute of Technology - [GIT],No data found,No data found,No data found,No data found
528,HMR Institute of Technology & Management - [HMRITM],No data found,No data found,No data found,No data found
529,Indore Institute of Science and Technology - [IIST],No data found,No data found,No data found,No data found
530,KSR College of Engineering,No data found,No data found,No data found,No data found
531,Loyola Institute of Technology - [LIT],No data found,No data found,No data found,No data found
532,Lucknow Institute of Technology - [LIT],No data found,No data found,No data found,No data found
533,Madha Engineering College,No data found,No data found,No data found,No data found
