Serial No.,College Name,Ranking Agency,Year,Rank
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],MBA,2023 Ranking,#183|  out of 193 in  |India 2023|#21st in Bangalore
502,Swami Rama Himalayan University - [SRHU],Physiotherapy,2023 Ranking,#74|  out of 105 in  |India 2023|#4th in Uttarakhand
502,Swami Rama Himalayan University - [SRHU],Physiotherapy,2022 Ranking,#72|  out of 114 in  |India 2022|#4th in Uttarakhand
503,Srinivas University,No data found,No data found,No data found
504,East West College of Engineering - [EWCE],No data found,No data found,No data found
505,Global Group of Institutes,No data found,No data found,No data found
506,Priyadarshini College of Engineering - [PCE],No data found,No data found,No data found
507,Jeppiaar Institute of Technology - [JIT],Overall,2024 Ranking,-
507,Jeppiaar Institute of Technology - [JIT],Overall,2023 Ranking,#250|  out of 281 in  |India 2023|#38th in Tamil Nadu
507,Jeppiaar Institute of Technology - [JIT],Overall,2022 Ranking,-
507,Jeppiaar Institute of Technology - [JIT],B.Tech,2024 Ranking,#251|  out of 284 in  |India 2024|#41st in Tamil Nadu
507,Jeppiaar Institute of Technology - [JIT],B.Tech,2023 Ranking,#216|  out of 246 in  |India 2023
507,Jeppiaar Institute of Technology - [JIT],B.Tech,2022 Ranking,#229|  out of 238 in  |India 2022
508,Seacom Skills University - [SSU],Overall,2024 Ranking,#131|  out of 160 in  |India 2024
508,Seacom Skills University - [SSU],Overall,2023 Ranking,#140|  out of 171 in  |India 2023
508,Seacom Skills University - [SSU],Overall,2022 Ranking,#135|  out of 161 in  |India 2022
509,SRM University,B.Tech,2024 Ranking,#118|  out of 284 in  |India 2024|#5th in Andhra Pradesh
509,SRM University,BBA/BMS,2024 Ranking,#59|  out of 211 in  |India 2024|#1st in Andhra Pradesh
510,University of Technology - [UOT],No data found,No data found,No data found
511,CT University - [CTU],B.Tech,2024 Ranking,#98|  out of 160 in  |India 2024
511,CT University - [CTU],B.Tech,2023 Ranking,#159|  out of 160 in  |India 2023
512,Malla Reddy College of Engineering for Women - [MRCEW],B.Tech,2024 Ranking,#165|  out of 284 in  |India 2024|#18th in Hyderabad
512,Malla Reddy College of Engineering for Women - [MRCEW],B.Tech,2020 Ranking,#141|  out of 200 in  |India 2020
513,Adichunchanagiri University - [ACU],B.Tech,2022 Ranking,#90|  out of 173 in  |India 2022
514,Bhabha University - [BU],No data found,No data found,No data found
515,Sant Baba Bhag Singh University - [SBBSU],Overall,2023 Ranking,#170|  out of 171 in  |India 2023
515,Sant Baba Bhag Singh University - [SBBSU],Overall,2022 Ranking,#154|  out of 161 in  |India 2022
515,Sant Baba Bhag Singh University - [SBBSU],BCA,2023 Ranking,-
515,Sant Baba Bhag Singh University - [SBBSU],BCA,2022 Ranking,#77|  out of 100 in  |India 2022|#3rd in Punjab
516,Shivajirao Kadam Group of Colleges,No data found,No data found,No data found
517,Rai University - [RU],Overall,2024 Ranking,#127|  out of 160 in  |India 2024
517,Rai University - [RU],Overall,2023 Ranking,#126|  out of 171 in  |India 2023
517,Rai University - [RU],Overall,2022 Ranking,#100|  out of 161 in  |India 2022
518,Shri Krishna University - [SKU],No data found,No data found,No data found
519,Anand Institute of Higher Technology - [AIHT],B.Tech,2024 Ranking,#162|  out of 355 in  |Tamil Nadu 2024
520,Arunai Engineering College - [AEC],B.Tech,2024 Ranking,#152|  out of 355 in  |Tamil Nadu 2024
521,Bharati Vidyapeeth College of Engineering - [BVCOE],No data found,No data found,No data found
522,DMI College of Engineering - [DMICE],B.Tech,2024 Ranking,#283|  out of 284 in  |India 2024|#14th in Chennai
523,Dayananda Sagar Academy of Technology and Management - [DSATM],Overall,2024 Ranking,-
523,Dayananda Sagar Academy of Technology and Management - [DSATM],Overall,2023 Ranking,#101|  out of 281 in  |India 2023|#9th in Bangalore
523,Dayananda Sagar Academy of Technology and Management - [DSATM],Overall,2022 Ranking,-
523,Dayananda Sagar Academy of Technology and Management - [DSATM],B.Tech,2024 Ranking,#96|  out of 284 in  |India 2024|#9th in Bangalore
523,Dayananda Sagar Academy of Technology and Management - [DSATM],B.Tech,2023 Ranking,#70|  out of 246 in  |India 2023
523,Dayananda Sagar Academy of Technology and Management - [DSATM],B.Tech,2022 Ranking,#75|  out of 238 in  |India 2022
524,Dhole Patil College of Engineering - [DPCOE],B.Tech,2024 Ranking,#111|  out of 173 in  |India 2024
524,Dhole Patil College of Engineering - [DPCOE],B.Tech,2023 Ranking,#105|  out of 166 in  |India 2023
525,Don Bosco Institute of Technology - [DBIT],B.Tech,2024 Ranking,#110|  out of 245 in  |India 2024|#15th in Bangalore
525,Don Bosco Institute of Technology - [DBIT],B.Tech,2022 Ranking,#125|  out of 216 in  |India 2022|#10th in Bangalore
525,Don Bosco Institute of Technology - [DBIT],B.Tech,2019 Ranking,-
525,Don Bosco Institute of Technology - [DBIT],MBA,2024 Ranking,-
525,Don Bosco Institute of Technology - [DBIT],MBA,2022 Ranking,-
525,Don Bosco Institute of Technology - [DBIT],MBA,2019 Ranking,#122|  out of 150 in  |India 2019|#11th in Bangalore
526,Dronacharya Group of Institutions - [DGI],Overall,2020 Ranking,#26-50|  out of 50 in  |India 2020
527,Gandhinagar Institute of Technology - [GIT],No data found,No data found,No data found
528,HMR Institute of Technology & Management - [HMRITM],No data found,No data found,No data found
529,Indore Institute of Science and Technology - [IIST],No data found,No data found,No data found
530,KSR College of Engineering,B.Tech,2024 Ranking,#170|  out of 245 in  |India 2024|#35th in Tamil Nadu
530,KSR College of Engineering,B.Tech,2023 Ranking,-
530,KSR College of Engineering,B.Tech,2022 Ranking,#188|  out of 216 in  |India 2022|#35th in Tamil Nadu
530,KSR College of Engineering,MBA,2024 Ranking,-
530,KSR College of Engineering,MBA,2023 Ranking,#150|  out of 193 in  |India 2023|#14th in Tamil Nadu
530,KSR College of Engineering,MBA,2022 Ranking,#171|  out of 179 in  |India 2022|#18th in Tamil Nadu
531,Loyola Institute of Technology - [LIT],B.Tech,2024 Ranking,#233|  out of 284 in  |India 2024|#13th in Chennai
532,Lucknow Institute of Technology - [LIT],No data found,No data found,No data found
533,Madha Engineering College,B.Tech,2024 Ranking,#297|  out of 355 in  |Tamil Nadu 2024
534,Maharaj Vijayaram Gajapathi Raj College of Engineering - [MVGRCE],B.Tech,2019 Ranking,#40|  out of 147 in  |India 2019|#3rd in Andhra Pradesh
535,Manav Rachna University - [MRU],B.Tech,2024 Ranking,#107|  out of 284 in  |India 2024|#3rd in Haryana
536,Orissa Engineering College - [OEC],No data found,No data found,No data found
537,RD Engineering College,No data found,No data found,No data found
538,Sri Indu Institute of Engineering & Technology - [SIIET],B.Tech,2022 Ranking,#164|  out of 200 in  |India 2022|#19th in Hyderabad
539,Rajalakshmi Institute of Technology - [RIT],B.Tech,2024 Ranking,#151-200|  out of 300 in  |India 2024|#9th in Chennai
539,Rajalakshmi Institute of Technology - [RIT],B.Tech,2023 Ranking,#151-200|  out of 200 in  |India 2023|#10th in Chennai
539,Rajalakshmi Institute of Technology - [RIT],B.Tech,2022 Ranking,#201-250|  out of 300 in  |India 2022|#16th in Chennai
540,Rajasthan Institute of Engineering and Technology - [RIET],No data found,No data found,No data found
541,Rajshree Institute of Management and Technology - [RIMT],Overall,2024 Ranking,-
541,Rajshree Institute of Management and Technology - [RIMT],Overall,2023 Ranking,#222|  out of 281 in  |India 2023|#19th in Uttar Pradesh
541,Rajshree Institute of Management and Technology - [RIMT],Overall,2022 Ranking,-
541,Rajshree Institute of Management and Technology - [RIMT],B.Tech,2024 Ranking,#228|  out of 284 in  |India 2024|#21st in Uttar Pradesh
541,Rajshree Institute of Management and Technology - [RIMT],B.Tech,2023 Ranking,#189|  out of 246 in  |India 2023
541,Rajshree Institute of Management and Technology - [RIMT],B.Tech,2022 Ranking,#204|  out of 238 in  |India 2022
541,Rajshree Institute of Management and Technology - [RIMT],MBA,2024 Ranking,#205|  out of 275 in  |India 2024
541,Rajshree Institute of Management and Technology - [RIMT],MBA,2023 Ranking,#215|  out of 272 in  |India 2023|#22nd in Uttar Pradesh
541,Rajshree Institute of Management and Technology - [RIMT],MBA,2022 Ranking,#226|  out of 281 in  |India 2022
