Serial No.,College Name,Rating,Pros,Cons
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],4.0,I liked campus a bit as it includes a park for students | I like about food and i have most liked north indian dishes | I liked campus a bit as it includes a park for students,No cultural events are organised in college it makes college life too boring | I dont like here about some green algae is there anf
502,Swami Rama Himalayan University - [SRHU],4.1,This college is specially very much strict to studies no compromise in done in studies | This college is very strict too for attendance related purpose | I liked my college campus It is very big campus and almost all facilities are available for students,I don't have anything to share that I disliked about this college | Weather here is good as it is in dehradun
503,Srinivas University,3.8,The faculity and staffs are really helpfull.all the teachers are very keen on teaching and helping students . They also have an anti ragging cell which is very strong and makes sure no one gets ragged . A womens cell is also present to ensure safety | A mentor is assigned for a group of 5 students and regular meetings are kept to keep an eye on the academical performance .they also provide tips and mental health support when required and makes us aware of the consequences of not studing properly | Faculties very helpful and skilled that's a reason,The aesthetics outside the campus is average . We need to go to medical college to get good pics | The teachers are very strict about being punctual even if you are one minure late u cannot attend the class
504,East West College of Engineering - [EWCE],3.9,There was lecturer who was best in teaching Her name Sowmya Mam | They will tell which place is best to get an internship | There was lecturer who was best in teaching Her name Sowmya Mam,The college hostel food is worst and canteen was not nice | There is no sport's for playing and it is very small
505,Global Group of Institutes,4.1,"At that time, there was a huge demand for students in the airlines and tourism industry, which is why I chose that course. | Mostly, the companies that came to our college for interviews were Flipkart, Wipro, Mobillite, Venue Monk, Ed Tech companies, and Jio. | At that time, there was a huge demand for students in the airlines and tourism industry, which is why I chose that course.",Papers are not as tough because college is not an autonomous university; it is under PTU (Technical Gujral University). | The internship did not meet our expectations because the company providing the internship sent us to another company
506,Priyadarshini College of Engineering - [PCE],3.9,I liked the campus of the college which really very very Beautiful. | The college infrastructure is very good I like it most and it is of 72 and which is widely very good. | I liked the campus of the college which really very very Beautiful.,The exam are very difficult and the management of exam schedules of university is not good and very poor. | One thing that college lacks behind is college exposure to skill building.
507,Jeppiaar Institute of Technology - [JIT],4.3,"I chose Computer Science and Engineering because I love to code, and for me, computers are the most passionate field to study and work in. | They have the best connections with many reputed companies such as ITCA (Indian Technology Congress Association), Wipro, Infosys, and so forth. | I chose Computer Science and Engineering because I love to code, and for me, computers are the most passionate field to study and work in.","They could've increased the placement opportunities a little bit , cause some companies did not come to intake students. | The college was very strict, this doesn't comes under dislike , but I'm mentioning this as my point of view."
508,Seacom Skills University - [SSU],3.8,Very nice campus and nice environment. They helps to improve and complete my degree. | Helps to improve my knowledge and depth. Supply all documents and library facilities. | College campuss which is so beautiful and big to hangout,Travelling facilities are poor but overall it is a very nice university
509,SRM University,4.2,"Course was very good , i have learnt how to hack and how to use AI. | The area of sports is very good as they provide badminton courts. | Course was very good , i have learnt how to hack and how to use AI.","Roads leading to university are worst, with the change in the government we may expect this to change. | The roads to come to the university are too worst and accident prone area."
510,University of Technology - [UOT],4.4,Its fees is affordable for all students in college. | There is no problem of attendance for maintaining. | The university provides a wide range of courses in every field at an affordable price.,Teacher are so frank they doesn't say anything to students | The college is so far and situated at very low developed area.
511,CT University - [CTU],4.2,I like the behaviour of the faculty computer labs are excellent | The infrastructure is great which includes Lift facilities for people don't want to land on stares. | I like the behaviour of the faculty computer labs are excellent,There is not any other thing which in the college bad | In winter there was very cold outside but the university not gaves us holiday
512,Malla Reddy College of Engineering for Women - [MRCEW],3.9,Atmosphere of the college. Infrastructure and surrounding environment | Faculty and their patience in making students learn and experience new things | Facilities and management best in our college,Nothing
513,Adichunchanagiri University - [ACU],4.0,The aspect of our college which I liked is the infrastructure of our college. | The quality of infrastructure is very beautiful. | The faculty here is good and well learnt,We disliked about the parking system which is very messy and some disturbing sounds. | The speaker system of our class during class hours.
514,Bhabha University - [BU],4.4,The college campus and infrastructure of my college,Some faculty members are bad in nature of my College
515,Sant Baba Bhag Singh University - [SBBSU],4.2,Firstly the university campus is very beautiful and well maintained . | The faculty members and admission staff helps you alot to choose a course according to your career. | I am liked sant baba bhag singh university,Hostel food is miserable and not much facilities are available. | University is nearly about 8 km away from the city which is a problem but university had their taxi service to the city in lesser charges.
516,Shivajirao Kadam Group of Colleges,3.8,"The college faculty is very awesome at teaching; all faculty members teach and provide knowledge through real-life examples. | You can also do an internship to develop your skills and boost your confidence. With the help of an internship, you can easily improve your skills, learn more languages, and earn while you learn. An internship is a good idea. | The college faculty is very awesome at teaching; all faculty members teach and provide knowledge through real-life examples.","The fee structure is 75k per year, which includes transportation. Not only this, the college provides scholarships to eligible students. | The bad remarks are that they dont have a hostel for students, which is a major problem that students are facing. On the other hand, they dont have a sports playground. Some sports are available but not properly managed. These two are the bad marks."
517,Rai University - [RU],3.8,The B.Tech course in Rai University is amazing and well-designed for students who want to build a career in engineering. | Our university provides the best placement in Gujarat and also offers the best certifications. We also have the best group to join us. | The B.Tech course in Rai University is amazing and well-designed for students who want to build a career in engineering.,I took an educational loan from HDFC Bank to pursue my education. It is very sad that our university does not provide any scholarships to its students. Scholarships are necessary for each student
518,Shri Krishna University - [SKU],3.9,Good faculty who is very experienced in teaching | Environment of college greenary sorroundings | Infrastructure and transport facility. I also liked that huge garden with daily proper maintenance and the cafeteria is also best.,According to me I didn't dislike anything | Noo dislikes according to me because all is great
519,Anand Institute of Higher Technology - [AIHT],3.1,"This is the college that I loved very much in my entire life,this was my first love that I made in my college campuses, teachers and faculty members of the all departments I'll never leave this college at any cost of my entire life , students enter i | Proper dress code and rules are strictly maintained. | Experienced staffs are there for teaching",Nothing I can dislike in this college but some issues are facing in my recent days that the principal divided to two categories to check weather the students are clean shaved or not and also properly wear there clothes or not these issues are recentl
520,Arunai Engineering College - [AEC],3.6,"The Course and Curriculum are designed by Anna University, which is really helpful for jobs, research, and is reputed for relevant field exposure. | HCL and other highly payable companies offer internships with stipends. The facilities and staff clearly explain how to handle external distribution of project machinery for external goods. | The Course and Curriculum are designed by Anna University, which is really helpful for jobs, research, and is reputed for relevant field exposure.","Companies came for internships, but my experience in college was very bad because no companies came for internships or placements. I suffered a lot after graduating from college, and it was the worst thing in my life. | The very strict management with students needs to change, and the hostel food menu is a little bad."
521,Bharati Vidyapeeth College of Engineering - [BVCOE],3.3,Campus Of This College Is Very Good And It Creates Peace Enivronment | Teaching And Non Teaching Both The Staff Is Supportive | Campus of this college is very good and it creates peace Environment,Canteen Is Not Good And All The Snacks Isnt Available In The Canteen
522,DMI College of Engineering - [DMICE],3.7,Staffs and students are always friendly in nature | Surroundings are very well maintained in our college | The well-maintained college which gives fresh feel being surrounded by greeneries.,Need more culturals programs and activities | Need more trips and industrial visit form college side
523,Dayananda Sagar Academy of Technology and Management - [DSATM],4.0,"I chose this course because it has good placement and offers a good package in our college. It is also the preferred course for many, with good marks. Therefore, I chose CSE as my course. | Internships will be offered in the 7th semester of college, which will be very useful for gaining knowledge. | I chose this course because it has good placement and offers a good package in our college. It is also the preferred course for many, with good marks. Therefore, I chose CSE as my course.","The VTUs timetable is structured all around the year in a way that doesnt give students sufficient time to indulge in various other opportunities and internships. | Sometimes, these students dont even need to pay any fees, while others pay as little as 20000 per annum."
524,Dhole Patil College of Engineering - [DPCOE],4.0,"Dhole Patil College of Engineering is one of the best colleges because it allows time to pay the college fees. | The college provides the internship. In BE, their project guide gives direction. Dhole Patil College of Engineering provides one talented and qualified teacher. All the staff give their best to teach the students. | Dhole Patil College of Engineering is one of the best colleges because it allows time to pay the college fees.","But only a few students in the last year have the opportunity to participate in an internship, and it is exclusively available for automobile students, not for students from other branches. | Proper arrangements for safe and clean drinking water should be made not only in the canteen but throughout the entire college."
525,Don Bosco Institute of Technology - [DBIT],3.7,"Classrooms are very advanced with beautiful painting and projector with all security from cctv cameras | I have like many things in college like campus, canteen, park area, roads of campus | Classrooms are very advanced with beautiful painting and projector with all security from cctv cameras","Complete Collage fees will be asked to pay at the beginning of the Semester itself, and it wil be very difficult to us to arrange the fees. | Time table is not good as compared to all other colleges."
526,Dronacharya Group of Institutions - [DGI],4.0,The faculties ae also one of the best in this college | My college infrastructure is very good My college have one basketball. | The faculties ae also one of the best in this college,"Thre is no hostel in the college which is a bad thing | My college does not have a dress code, which is Which is not good?"
527,Gandhinagar Institute of Technology - [GIT],3.8,"The faculties are very brilliant; they teach each and every word in our course and solve all the difficulties. | No, my college does not provide any internships. We are able to find out the best companies based on our knowledge. | The faculties are very brilliant; they teach each and every word in our course and solve all the difficulties.","No, I dont opt in for any internship because the workload was very little and internships are very bad. | Placement and job opportunities are very limited in my college, and only a few companies visited. There is a long queue for the placement line. The college charges a non-refundable placement fee of 3000 rupees."
528,HMR Institute of Technology & Management - [HMRITM],3.3,The area of the college is very calm and is very good place to study | I liked the environment around the college and fresh air which helpus to relive from the stress the area is very good | The area of the college is very calm and is very good place to study,"Reaching the college is difficult and hence students prefer taking college bus. | The location of the college is in the outskirts of the city , hard for travelling"
529,Indore Institute of Science and Technology - [IIST],4.0,"Mechanical engineering is the best branch of engineering. The exam schedule is conducted every six months. Engineering has a four-year course. | Every internship opportunity is provided there, and as I already told you, you will get paid for that. They provide internships in C language, C++ language, Java language, Python language, web development (HTML, JavaScript, CSS), and many more others too. | Mechanical engineering is the best branch of engineering. The exam schedule is conducted every six months. Engineering has a four-year course.","College does not provide any internships. Our experience was very bad because we had to do it from another institute and spend approximately 1000 rs on our internships. | The college tries to hide its incompetence behind phony records depicting a large number of students as placed, whereas they are actually hired for stupid BPO or menial jobs"
530,KSR College of Engineering,3.9,Our teachers are so friendly way. there are so many good and intelligent facilities in our college | There is no bus fee in our college it is very helpful for many students like me and there is so many available. | Provide all types of sports training and equipments.,Girls should wear shawl in our college. there is dress code in our colleges. | I think so it is so long to catch the bus in evening buses are landing in ground so it took 30 minutes to walk there to catch the bus
531,Loyola Institute of Technology - [LIT],3.1,Ya the course curriculum and faculty in the college are so good and the teaching by them are also so good. | College won't provide internship unless you will find they will give of for some days placements will maximum available for car and ece department and rest of department u can't able to place in campus interview because they won't provide campus placement | Ya the course curriculum and faculty in the college are so good and the teaching by them are also so good.,"Worst i had too many backlogs i had bo interest in studies with poor coaching staffs and poor infrastructure the way students were treated is really poor. | Only 3rd tier company are coming here for placement everyone will get job, but not good company as expected."
532,Lucknow Institute of Technology - [LIT],4.0,"The initial semesters cover the basic knowledge into computers and then subsequent semesters deals in more specialized subjects like embedded systems, data warehousing & data mining, intelligent systems, etc. | I was also selected in college campusing but i dropped off the internship and joined ram management as they provide me with good stipend and incentives too. | The initial semesters cover the basic knowledge into computers and then subsequent semesters deals in more specialized subjects like embedded systems, data warehousing & data mining, intelligent systems, etc.","If student brings out of syllabus doubt then it becomes difficult for faculty to address it. | The hostels are spread over three complexes namely, the girls hostel complex, the junior boys hostel complex and the senior boys hostel complex."
533,Madha Engineering College,3.8,Faculty are superb with good teaching skill. | Motivation and encouragement are awesome | I like the infrastructure are so good and the labs are good and huge. And the mechinarys are also good.,Patients are low compared to other college | Bus facilities are good but sometimes it is not workimg properly
534,Maharaj Vijayaram Gajapathi Raj College of Engineering - [MVGRCE],4.1,Our college provides best placements and we run coding clubs where we do projects | The spacious campus is the best when we need a break from everything. | Our college provides best placements and we run coding clubs where we do projects,I hate how our faculty are patrolling around the college in the afternoon hours | And I don't like canteen in my college it is soo bad
535,Manav Rachna University - [MRU],3.7,"Discipline in this college is very good which make it better | Placement: placement is fine, most of students sit for the placement drive. | Discipline in this college is very good which make it better",Sports: The equipment and facilities for the sports is there but the culture for healthier lifestyle is majorly missing.
536,Orissa Engineering College - [OEC],3.7,"Yes, everything is good there - the functions, events, all types of events are happening here, from tech fests to cultural activities, everything is just awesome. | The training and placement program was the best and was conducted by Infosys and Corporate Gurukul as well. | Yes, everything is good there - the functions, events, all types of events are happening here, from tech fests to cultural activities, everything is just awesome.","Orissa Engineering College does not provide any loans, but they can adjust the payment mode by offering fee installments and a reduced fee structure for students from backward classes. | None of these things are good because the faculties provided by the college have a very low level of expertise and knowledge in their subjects."
537,RD Engineering College,3.4,I like all the teachers for a good behaviour to students | The annual fests are very eye catching and full of vibe | I like all the teachers for a good behaviour to students,Mention why did you choose this course A brief about faculty:student ratio Qualification of the faculty & review teaching method How timely were term exams and how difficult was to pa | There is nothing much to be disliked but the campus area can be made a bit bigger.
538,Sri Indu Institute of Engineering & Technology - [SIIET],3.8,Exams are easy to pass just by studying the spectrum all in one book | My college infrastructure is good college have different building blocks for different courses like btech it ECE college have large space | Exams are easy to pass just by studying the spectrum all in one book,There are less placements and the faculty is not good they don't know the subject | Things I disliked about my college faculty they are some faculty don't teach us well they skip the topics some are even start the syllabus
539,Rajalakshmi Institute of Technology - [RIT],3.6,There are many opportunities available here. I grab more extra knowledge here. | They arrange more and more events and seminars to get students to interact with industrialists. | The college offers a lots and lots of choices for the students,Not very much useful lab session held. But the theory concepts will very useful | Leaves are not declared before for hostellers to plan their travel.
540,Rajasthan Institute of Engineering and Technology - [RIET],3.7,"I have chosen this course because I want to obtain government sector jobs, and every faculty member in my department is very good, amazing, and talented. | Nowadays, they may be offering something inside the campus that I had heard is good. | I have chosen this course because I want to obtain government sector jobs, and every faculty member in my department is very good, amazing, and talented.","The internship offered zero percent placement. There is no future without placement. I got placed through my luck and hard work. I took it under TATA and Reliance Communication without any stipend. | Actually, it wasnt good. I didnt get any job from there, and at that time, the IT sector was also down."
541,Rajshree Institute of Management and Technology - [RIMT],3.9,When I was getting admission in college I was new commer but all the college faculty treated me nicely and they are well aducated and skilled,"They don't maintain hygiene in college toilets, and for other waste."
542,SSM College of Engineering - [SSMCE],4.0,"sports iam liked. best PET sir to provide te college | classrooms- classrooms is all times very clean | Good campus, good hostel facility. good food.",canteen- the canteen sizewise very small | ground-college ground is neayby the college
543,Sam College of Engineering and Technology - [SAMCET],3.4,no pros found,no cons found
544,Sanghvi Institute of Management and Science - [SIMS],3.1,no pros found,no cons found
545,Sarvajanik College of Engineering and Technology - [SCET],3.8,Also I liked the canteen food in our college .it is very delicious and in reasonable price . | I also like the infrastructure of college because there were many plants and trees around the college. | Also I liked the canteen food in our college .it is very delicious and in reasonable price .,The college infrastructure is not very good but the campus of University is very big | One only thing I disliked was overcrowded students in CE and IT courses.
546,Seacom Engineering College,3.7,"Hi, i am sudipta samanta, i choose this course because i love my course and i want to do something in this field, and i get some information about the placement of my college and i am also satisfied with the information. | Placement is too bad.got a it based company through campasing.that was an voice process.but as my stream is mechanical thatswhy i dont want to spoill my career.i didt joined that company.but still im trying my best. | Hi, i am sudipta samanta, i choose this course because i love my course and i want to do something in this field, and i get some information about the placement of my college and i am also satisfied with the information.","Tcs, wipro like company came to this college but very few students got placed from campus. | It was not a good experience very few company's come for me stream, tge company's were namely til, honda and few other small companies,"
547,Seth Jai Parkash Mukand Lal Institute of Engineering and Technology - [JMIT],3.7,"It is good, since my branch is instrumentation and control, which has a mix of electrical and plumbing electronics. | For the internship, no companies were present in the college as it was an individuals choice whether to pursue it or not. However, the college was fully supportive in assisting the students in obtaining permission for the internship in any way possible. | It is good, since my branch is instrumentation and control, which has a mix of electrical and plumbing electronics.","It was average; I didnt get any placements from the college. Instead, I got the job off-campus. | Campus life is average since there are fewer students on campus, and the college solely emphasizes academics."
548,Shah and Anchor Kutchhi Engineering College - [SAKEC],3.6,"The course is good because it gives knowledge about hardware and software as well. | If you think that you are going to get a good internship, then you should try other colleges. However, in terms of faculty and placements, its a very good college overall. | The course is good because it gives knowledge about hardware and software as well.","Sometimes the curriculum is nice enough to get involved in the activities, while other times its boring, depending on the different semesters of studying in college. | There is a 10% fee hike, but due to COVID, there was no fee hike this year."
549,Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam,3.6,And the garden area of the sri indu college is like just awesome | The college has experienced and knowledgeable faculty members who are dedicated to providing quality | And the garden area of the sri indu college is like just awesome,The dislikes are the girls hostel it is very bad and no maintenance. | And the supppli fee also increasing day by day it is very difficult to the poor people.
550,Sri Krishna Institute of Technology - [SKIT],3.5,"I chose this course because I have always been willing to do so since my school days, and I have known that AI is the future of the world. | Internship offers came from Wipro, Bosch, and some small-scale industries. The projects were based on the subjects we studied in our syllabus. I chose to work on a vertical grinding machine, which proved to be easy to maintain and had good performance. | I chose this course because I have always been willing to do so since my school days, and I have known that AI is the future of the world.","The college administration also does not encourage creativity and provides very little or no exposure to research activities. | Still now, the college has not provided any type of internship, and it is unknown whether they will provide one or not. However, there are fewer internships available for civil engineering. These internships offer no experience and no stipend amount. An internship is simply a training opportunity in a company where they will teach you everything."
551,Sriram Engineering College - [SEC],3.6,"My college is very friendly. Peace full campus. Not very strict. Inside hostel available | They will encourage others than studies like sports, miming, and other activities | good atmospire and good bulding structure",Placement is not that good. We doses not have good placement | Few facilities don't have experience. Management quota fees is high. So don't join here in Management Quota
552,St. Thomas College of Engineering and Technology- [STC],4.0,"My course of Btech in this college has been really good, especially because of good teaching, wonderful friends, and much more. There are internal lab assignments, practicals, and semester examinations. | Some of my friends took internships in Indian Railways, while others took internships in Tata Steel, where they received a stipend of some kind. | My course of Btech in this college has been really good, especially because of good teaching, wonderful friends, and much more. There are internal lab assignments, practicals, and semester examinations.","It has a few qualified teachers, and few are fresher too. The exam structure is pretty much similar to any other college, and for distractions, they have a sports day too. | There are absolutely no placements for non-IT students in order to be placed in a core company."
553,Swami Vivekananda Institute of Science and Technology - [SVIST],3.7,"The college campus is very beautiful and campus life is enjoyable for us | Has good indoor games facilities and has badminton court basketball court, football ground. | The college campus is very beautiful and campus life is enjoyable for us","The thing i dislike that they say something wrong in the time of admission and i cant relate it after admission. | Lab is not good for college , computer lab is below avarage"
554,Techno International New Town - [TINT],3.7,The college is under a reputed group that is the techno india group and my stream cse was also a very good stream | Faculty members and students are very good and senior are helpfull. | The college is under a reputed group that is the techno india group and my stream cse was also a very good stream,And for giving fees by loan they will make you rum from 5th floor to ground floor for 5-6 times it is the worst thing in our college | There are no lift in this collage so it's very difficult.
555,Theem College of Engineering - [TCOE],3.2,"There are so many courses in advanced subjects like AIML in college, along with other courses such as mechanical, civil, and automobile. You have to choose the course that you want, and you want the best course available. | There are many more internships available and numerous projects for students, such as building racing cars. There are many more opportunities for these projects and teams for the students involved. | There are so many courses in advanced subjects like AIML in college, along with other courses such as mechanical, civil, and automobile. You have to choose the course that you want, and you want the best course available.","There were not many companies that had come since it was the 2nd batch that had passed. | They took 14580 Rs as other fee, and I think this should be called organized loot. We dont always get buses that cost us 15 Rs."
556,Xavier Institute of Engineering - [XIE],3.5,no pros found,no cons found
557,Velammal Institute of Technology - [VI-Tech],3.9,In my college the infrastructure as very good as compared to other college | The placement are very good and training are very good | Things that I liked is teachers encourage students to do multi curriculuar activities to enhance their knowledge,The most unliked thing is not clean the restroom | Very strict college. And fees has high as compared to other college
558,Vignan's Institute of Information Technology - [VIIT],3.9,Infrastructure excellent infrastructure with greenery all over surrounded by motivational quotes and personality . | This college mangement provides the best opportunity platform to prove our selfs. | Infrastructure excellent infrastructure with greenery all over surrounded by motivational quotes and personality .,Canteen area and gym area Because the gym area is very worst | Hostel food is very bad and it need to be improved
559,Knowledge Institute of Technology - [KIOT],4.3,"Apart from the course curriculum, we had various extracurricular activities such as Make a product and the BEG Exam to improve and groom ourselves as excellent engineers. | If we are selected in a company and they offer any internships, our college is ready to provide internships for students, and there are no barriers for us to attend. | Apart from the course curriculum, we had various extracurricular activities such as Make a product and the BEG Exam to improve and groom ourselves as excellent engineers.",Fee related queries handled severely by management | No physical activity like sports and other culturals
560,Vasireddy Venkatadri Institute of Technology - [VVIT],4.3,The faculty in my college will teach us in a very good manner. | Curriculum is on of the best thing i have liked in the college | The faculty in my college will teach us in a very good manner.,I am some what disappointment in the joining of this college. | The way of receiving the students at the gate is not perfect
561,Sushant University,3.9,"The course aligns with many case study analyses prepared by the faculty and includes industrial visits for industrial exposure. | Selected with great care by the VATEL management teams, these internships take place in 3 to 5-star hotels, wine and spirits companies, and build momentum throughout the entire school program. | The course aligns with many case study analyses prepared by the faculty and includes industrial visits for industrial exposure.","Internships are provided, but students are required to find and pursue the internships themselves, as well as complete projects. | Placements are very scarce; around 10-20% of students get placements, and those who do are not happy with them"
562,William Carey University - [WCU],4.2,no pros found,no cons found
563,Career Point University - [CPU],3.9,"Teachers gave updates for any thing which has included or removed form the syllabus,, the best faculty for me is zoology i. | Placements are best in our campus but the students not well managed and interested.placments are conducted in our campus in every 10 to 15 days. | Teachers gave updates for any thing which has included or removed form the syllabus,, the best faculty for me is zoology i.",Hostal is not good the rooms are bad i share my room with my friend the rent of this hostal is very expensive hostal room's is very small.
