Serial No.,College Name,Scholarship Info
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"Yearly wise fees = Rs1,75,000 for 3 years and 4th year will be research project The above mentioned fees includes everything including labs, admission, maintanance, sports coaching, gym etc. Everyone pays the same fees There are more than 3 scholarships available for the students."
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"i paid yearly around ?85000 and if you score above 80% you get ?20000 discount. my coure was of 3 years so i paid 85k in the 1st year, 75k in 2nd year but again 85k in the 3rd year(20k for alumini charges)."
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"1st year -350000 2nd year-340000 3rd year-340000 4th year-330000 This is the tuition feee for the cs students registration,caution ,lab everything is included in the same fee but for admission fee we got to pay 1500 rs And for our friends in b.tech ECE fee structure is 1st year - 250000 2nd year - 240000 3rd year - 240000 4th year - 230000 I don't have a idea on scholarships because I don't have one"
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"The first year's fees was 10000 but since I got above 80% in 12th, I got a discount of 15000 so I only paid 85000. For the second and third year the fees is 85000 and I have paid the same There is no other scholarships from the college end except for the first year's merit scholarship"
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],The fees is 1.5 lakhs per annum and it's a 3 years course so it's 4.5 lakhs for the course. And there is 2000rs registration fees which is take at the time of registration for entrance exam. There are few scholarships which the university provides.
502,Swami Rama Himalayan University - [SRHU],"Swami rama himalayan university was established in year 1995 It is one of the oldest and best university in uttrakhand providing many medical ,technical , and allied courses. It is a private university and is mci, ugc, indian nursing councing aproved. It is located close to jollygrant airport dehradun . There are currently running many ug , pg and doctral degree programs distributed to its four colleges - 1.HIMALAYAN INTITUTE OF MEDICAL SCIENCE (HIMS ) 2.HIMALAN INSTITUTE OF SCIENCE AND TECHNOLOGY( HSST) 3. HIMALAYAN COLLEGE OF NURSING( HCN) 4. HIMALAYAN SCHOOL OF MANAGEMENT STUDIES( HSMS) SWAMI RAMA HIMALAN UNIVERSITY provide top notch facilites related to studies . There are 100+ faculties currently teaching here , Students come here from various parts of India be it be the South East or west. This college is having a famous hospital HIMALAYAN HOSPITAL inside campus with 2500+ opd per day. For students gym, cafe, library and all other sports facilites are available insid"
502,Swami Rama Himalayan University - [SRHU],"we pay fees semester wise Like there are six semester in my course Per semester fee 18000 to 20000 including tuitions fees and other fees in my college. There are admission in two categories. First is Uttarakhand domicile category and second is all India candidate student who have Uttarakhand domicile, they have less fees and all India candidate I am the registration fee is only one time fee and also they deduct one time alumni fee which they refund after course completed"
502,Swami Rama Himalayan University - [SRHU],The overall fee structure for per year is 100000 but it mainly depends on the category of the candidate. As I belong to ALL INDIA RANK my fee structure for per sem is 40000 and candidates belong toh PRU pay 35000
502,Swami Rama Himalayan University - [SRHU],"Yearly fee is Rs.100000 and 6 months fee for the bus is Rs.9500. The college bus runs only one time, that is not a good thing at all, the studies are also less, only a few children get placement. Some children have less fees and children on scholarship have less fees than us."
502,Swami Rama Himalayan University - [SRHU],"Tution fee per semester for all indian category is 35,000 And for uttarakhand residents is 25,900 per semester Admission fee is 7,500 University enrollment fee one time 1000 Security fee 10000/- Convocation fee 2000 Hostel fee per year 42,000 Scholarship for defense student is also present"
503,Srinivas University,"Year wise fees paid: 1st year:90260(to KCET) 2nd year:90000 3rd year:90000 4th year:90100 Tution fees:62073 Lab, Library and others:27927 Alumini Fee:100(applicable only for final year students) Scholarships such as NSP,SSP,etc.,"
503,Srinivas University,The fees should he paid like yearly .There are 3 years So by dividing the 3Lakh 40 Thousand its been divided and paid through yearly and there anre extra fees for hostel and other faculties like for hostel they are buying 36k for 1 year fees without food and the food provided is pure veg.
503,Srinivas University,Management quota First year- 235000 (tuition fee) 35000( university and other fee) 20000( books and dental kit) Second year- 235000(tution fee) 20000( books and dental kit) Third year- 235000(tution fee) 20000(books and dental kit) Fourth year-235000(tution fee) - 20000(dental kit) For students from merit quota the fees per year was 125000 The college has adition charges for uniform which will be around 3000 for two pairs . The uniform is same for the first two years and then it is different for the next two years. Application for loan is possible. Postmetric scholarship for backward students of sc and st are available- NSP and SSP scholarship .
503,Srinivas University,"The year wise fees is about 1-1.5 lakhs.Total fees is about 4lakhs including tuition fee, admission fee etc.There are many specialization in bca it varies fees.And also we opt ibm we need to.without ibm the fees is low about 2.5-3 lakhs"
